AuthorID,Author,Date,Content,Attachments,Reactions
"588784442848313345","bennycraig#1204","07-Sep-20 06:51 PM","I thought I would add channels for specific projects and homework assignments; eventually we can add exam study channels, as well.","",""
"588784442848313345","bennycraig#1204","07-Sep-20 06:52 PM","Vote **thumbs up** if this helps this server's organization-- or **thumbs down** if this is too many channels","","👍 (5)"
"431243213043400726","Bright#5362","07-Sep-20 06:53 PM","I think it's a cool idea.  If it gets too cluttered, we can archive past channels or reorganize.","","💯 (1)"
"588784442848313345","bennycraig#1204","07-Sep-20 06:53 PM","^^Exactly^^","",""
"588784442848313345","bennycraig#1204","07-Sep-20 06:56 PM","Question about testing the assembler: should we assume that the assembly files will be free of syntactical errors? In other words will the isntructions follow the expected format: label<white>instruction<white>field0<white>field1<white>field2<white>comments","",""
